Année,Rang,Département,Revenu
2017,1,Paris,3 596 €
2017,2,Hauts-de-Seine,3 503 €
2017,3,Yvelines,3 223 €
2017,4,Haute-Savoie,2 964 €
2017,5,Essonne,2 562 €
2017,6,Ain,2 513 €
2017,7,Val-de-Marne,2 490 €
2017,8,Haut-Rhin,2 477 €
2017,9,Rhône,2 441 €
2017,10,Seine-et-Marne,2 395 €
2017,11,Haute-Garonne,2 324 €
2017,12,Val-d'Oise,2 312 €
2017,13,Alpes-Maritimes,2 303 €
2017,14,Bas-Rhin,2 293 €
2017,15,Savoie,2 292 €
2017,16,Isère,2 280 €
2017,17,Doubs,2 274 €
2017,18,Loire-Atlantique,2 268 €
2017,19,Ille-et-Vilaine,2 235 €
2017,20,Côte-d'Or,2 221 €
2017,21,Marne,2 218 €
2017,22,Gironde,2 204 €
2017,23,Loiret,2 194 €
2017,24,Oise,2 187 €
2017,25,Eure-et-Loir,2 155 €
2017,26,Territoire de Belfort,2 154 €
2017,27,Var,2 148 €
2017,28,Pyrénées-Atlantiques,2 146 €
2017,29,Bouches-du-Rhône,2 135 €
2017,30,Indre-et-Loire,2 123 €
2017,31,Moselle,2 098 €
2017,32,Calvados,2 095 €
2017,33,Jura,2 093 €
2017,34,Puy-de-Dôme,2 083 €
2017,35,Morbihan,2 082 €
2017,36,Meurthe-et-Moselle,2 081 €
2017,37,Eure,2 079 €
2017,38,Finistère,2 074 €
2017,39,Maine-et-Loire,2 074 €
2017,40,Seine-Maritime,2 058 €
2017,41,Vendée,2 057 €
2017,42,Corse-du-Sud,2 051 €
2017,43,Loir-et-Cher,2 046 €
2017,44,Charente-Maritime,2 046 €
2017,45,Drôme,2 030 €
2017,46,Landes,2 018 €
2017,47,Sarthe,2 014 €
2017,48,Côtes-d'Armor,2 010 €
2017,49,Saône-et-Loire,1 997 €
2017,50,Mayenne,1 996 €
2017,51,Deux-Sèvres,1 991 €
2017,52,Loire,1 985 €
2017,53,Hérault,1 985 €
2017,54,Aube,1 985 €
2017,55,Manche,1 977 €
2017,56,Vienne,1 976 €
2017,57,Nord,1 967 €
2017,58,Hautes-Alpes,1 965 €
2017,59,Haute-Vienne,1 961 €
2017,60,Yonne,1 943 €
2017,61,Corrèze,1 939 €
2017,62,Aveyron,1 936 €
2017,63,Vaucluse,1 931 €
2017,64,Cher,1 919 €
2017,65,Somme,1 919 €
2017,66,Alpes-de-Haute-Provence,1 915 €
2017,67,Tarn,1 914 €
2017,68,Ardèche,1 912 €
2017,69,Charente,1 911 €
2017,70,Lot,1 908 €
2017,71,Gard,1 905 €
2017,72,Haute-Loire,1 894 €
2017,73,Haute-Saône,1 889 €
2017,74,Gers,1 884 €
2017,75,Meuse,1 865 €
2017,76,Vosges,1 860 €
2017,77,Tarn-et-Garonne,1 849 €
2017,78,Haute-Corse,1 837 €
2017,79,Orne,1 836 €
2017,80,Lot-et-Garonne,1 830 €
2017,81,Aisne,1 827 €
2017,82,Haute-Marne,1 823 €
2017,83,Hautes-Pyrénées,1 820 €
2017,84,Dordogne,1 814 €
2017,85,Allier,1 813 €
2017,86,Cantal,1 810 €
2017,87,Pas-de-Calais,1 810 €
2017,88,Nièvre,1 804 €
2017,89,Lozère,1 803 €
2017,90,Indre,1 799 €
2017,91,Pyrénées-Orientales,1 797 €
2017,92,Ardennes,1 797 €
2017,93,Seine-Saint-Denis,1 786 €
2017,94,Aude,1 738 €
2017,95,Ariège,1 711 €
2017,96,Creuse,1 646 €
2017,97,Martinique,1 558 €
2017,98,La Réunion,1 503 €
2017,99,Guyane,1 431 €
2017,100,Guadeloupe,1 426 €
2017,101,Mayotte,936 €
