Departement,Effectifs scolarisés,Effectifs habitants,Taux de scolarisation
Allier,57 505,333 713,"17,2"
Cantal,22 127,143 863,"15,4"
Haute-Loire,42 960,226 971,"18,9"
Puy-de-Dôme,156 379,668 941,"23,4"
Ardèche,60 085,332 158,"18,1"
Drôme,104 424,521 666,"20,0"
Isère,321 594,1 290 472,"24,9"
Savoie,96 918,445 515,"21,8"
Haute-Savoie,171 969,853 312,"20,2"
Ain,135 398,667 726,"20,3"
Loire,176 328,770 949,"22,9"
Rhône,562 012,1 919 284,"29,3"
Doubs,134 077,549 350,"24,4"
Jura,48 579,257 646,"18,9"
Haute-Saône,41 152,232 669,"17,7"
Territoire de Belfort,30 449,138 096,"22,0"
Nièvre,33 275,199 156,"16,7"
Saône-et-Loire,96 770,548 770,"17,6"
Yonne,59 625,332 412,"17,9"
Finistère,196 257,924 576,"21,2"
Ille-et-Vilaine,296 614,1 110 429,"26,7"
Morbihan,153 749,773 979,"19,9"
Cher,51 805,298 501,"17,4"
Eure-et-Loir,87 211,430 284,"20,3"
Indre,34 882,216 280,"16,1"
Indre-et-Loire,145 303,616 991,"23,6"
Loir-et-Cher,59 397,328 194,"18,1"
Loiret,164 238,685 406,"24,0"
Corse-du-Sud,23 814,163 320,"14,6"
Haute-Corse,31 298,185 848,"16,8"
Meurthe-et-Moselle,200 562,730 751,"27,4"
Meuse,31 787,179 847,"17,7"
Moselle,195 224,1 052 071,"18,6"
Vosges,64 770,357 967,"18,1"
Ardennes,48 977,266 851,"18,4"
Aube,62 980,312 245,"20,2"
Marne,137 185,566 513,"24,2"
Haute-Marne,29 389,168 770,"17,4"
Bas-Rhin,273 320,1 163 027,"23,5"
Haut-Rhin,153 854,769 737,"20,0"
Aisne,107 877,525 226,"20,5"
Oise,179 699,832 317,"21,6"
Somme,138 939,565 614,"24,6"
Nord,708 465,2 614 378,"27,1"
Pas-de-Calais,316 827,1 458 532,"21,7"
Seine-et-Marne,339 897,1 448 660,"23,5"
Seine-Saint-Denis,418 101,1 685 758,"24,8"
Val-de-Marne,333 161,1 424 112,"23,4"
Yvelines,351 365,1 462 858,"24,0"
Essonne,349 756,1 315 318,"26,6"
Hauts-de-Seine,375 127,1 643 740,"22,8"
Calvados,163 699,701 012,"23,4"
Manche,89 242,494 202,"18,1"
Orne,50 871,275 022,"18,5"
Eure,121 033,598 283,"20,2"
Seine-Maritime,314 417,1 256 298,"25,0"
Dordogne,65 439,412 574,"15,9"
Gironde,409 176,1 679 859,"24,4"
Landes,71 743,426 137,"16,8"
Lot-et-Garonne,60 668,329 694,"18,4"
Pyrénées-Atlantiques,140 116,695 315,"20,2"
Corrèze,40 788,237 797,"17,2"
Creuse,16 342,114 492,"14,3"
Haute-Vienne,81 231,371 311,"21,9"
Charente,61 661,352 224,"17,5"
Charente-Maritime,123 708,663 209,"18,7"
Deux-Sèvres,69 231,374 163,"18,5"
Vienne,109 586,441 004,"24,8"
Aude,66 627,379 057,"17,6"
Gard,152 889,757 191,"20,2"
Hérault,303 006,1 220 960,"24,8"
Lozère,14 593,76 750,"19,0"
Pyrénées-Orientales,97 358,488 564,"19,9"
Ariège,25 301,154 681,"16,4"
Aveyron,46 964,279 775,"16,8"
Haute-Garonne,378 878,1 454 901,"26,0"
Gers,31 240,193 113,"16,2"
Lot,26 401,175 841,"15,0"
Hautes-Pyrénées,40 222,230 322,"17,5"
Tarn,76 035,394 797,"19,3"
Tarn-et-Garonne,51 139,265 371,"19,3"
Loire-Atlantique,356 655,1 482 825,"24,1"
Maine-et-Loire,216 745,830 803,"26,1"
Mayenne,62 359,306 908,"20,3"
Sarthe,123 422,567 743,"21,7"
Vendée,137 552,703 623,"19,5"
Alpes-de-Haute-Provence,28 619,166 140,"17,2"
Hautes-Alpes,24 364,140 433,"17,3"
Bouches-du-Rhône,502 395,2 073 849,"24,2"
Vaucluse,126 469,565 721,"22,4"
Alpes-Maritimes,246 286,1 109 766,"22,2"
Var,203 210,1 103 955,"18,4"
Guadeloupe,106 701,422 267,"25,3"
